LAPORAN LAPORAN ANGGOTA;;;;;
;;;;;
no_anggota;nama;fraksi;dapil;jenis_kelamin;
123;KAWENDRA LUKISTIAN, S.E., M.Sn.;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR IV;L;
124;MORENO SOEPRAPTO, S.Sos.;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR V;L;
125;H. MA'RUF MUBAROK, S.H.;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR V;L;
126;Ir. ENDRO HERMONO;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR VI;L;
127;Drs. SUPRIYANTO;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR VII;L;
128;BIMANTORO WIYONO, S.H.;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR VIII;L;
129;Dr. WIHADI WIJANTO, S.H., M.H.;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR IX;L;
130;KHILMI;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR X;L;
131;R.H. IMRON AMIN, S.H., M.H.;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR XI;L;
132;H. ALI ZAMRONI, S.Sos., M.A.P.;Fraksi Partai Gerakan Indonesia Raya;BANTEN I;L;
133;ANNISA M.A. MAHESA, S.E., B.Com;Fraksi Partai Gerakan Indonesia Raya;BANTEN II;P;
134;Prof. Dr. Ir. H. SUFMI DASCO AHMAD, S.H., M.H.;Fraksi Partai Gerakan Indonesia Raya;BANTEN III;L;
135;I DEWA GDE AGUNG WIDIARSANA S.Ds.;Fraksi Partai Gerakan Indonesia Raya;BALI;L;
136;Apt. Hj. LALE SYIFAUN NUFUS, M. Farm;Fraksi Partai Gerakan Indonesia Raya;NUSA TENGGARA BARAT II;P;
137;Ir. ESTHON L. FOENAY, M.Si.;Fraksi Partai Gerakan Indonesia Raya;NUSA TENGGARA TIMUR II;L;
138;YULIANSYAH, S.E.;Fraksi Partai Gerakan Indonesia Raya;KALIMANTAN BARAT I;L;
139;H. IWAN KURNIAWAN, S.H. M.Si.;Fraksi Partai Gerakan Indonesia Raya;KALIMANTAN TENGAH;L;
140;H. MUHAMMAD ROFIQI, S.H.;Fraksi Partai Gerakan Indonesia Raya;KALIMANTAN SELATAN I;L;
141;Hj. Mariana S.AB., MM;Fraksi Partai Gerakan Indonesia Raya;KALIMANTAN SELATAN II;P;
142;G. BUDISATRIO DJIWANDONO;Fraksi Partai Gerakan Indonesia Raya;KALIMANTAN TIMUR;L;
143;Hj. RAHMAWATI, S.H.;Fraksi Partai Gerakan Indonesia Raya;KALIMANTAN UTARA;P;
144;MARTIN D. TUMBELAKA;Fraksi Partai Gerakan Indonesia Raya;SULAWESI UTARA;L;
145;Drs. H. LONGKI DJANGGOLA, M.Si.;Fraksi Partai Gerakan Indonesia Raya;SULAWESI TENGAH;L;
146;Dr. H. AZIKIN SOLTHAN, M.Si.;Fraksi Partai Gerakan Indonesia Raya;SULAWESI SELATAN I;L;
147;ANDI AMAR MA'RUF SULAIMAN, S.E.,B.Busman.,M.H.;Fraksi Partai Gerakan Indonesia Raya;SULAWESI SELATAN II;L;
148;H. ANDI IWAN DARMAWAN ARAS, S.E., M.Si.;Fraksi Partai Gerakan Indonesia Raya;SULAWESI SELATAN II;L;
149;UNRU BASO, M.Mar.;Fraksi Partai Gerakan Indonesia Raya;SULAWESI SELATAN III;L;
150;Ir. H. LA TINRO LA TUNRUNG;Fraksi Partai Gerakan Indonesia Raya;SULAWESI SELATAN III;L;
151;BAHTRA, S.PWK;Fraksi Partai Gerakan Indonesia Raya;SULAWESI TENGGARA;L;
152;ELNINO M. HUSEIN MOHI, S.T., M.Si.;Fraksi Partai Gerakan Indonesia Raya;GORONTALO;L;
